image,caption
170947689.jpg,a person reading something is sitting under the tree .
2721954475.jpg,a group of people stand near and on a large black square on the ground with some yellow writing on it .
123314995.jpg,a man in red shirt displays his fighting technique on another man in gray shirt .
4764080090.jpg,a man and a woman are at an outdoor shopping area and discussing something .
4589054322.jpg,a man with a brown coat and blue headscarf is kneeling and tuning a guitar .
4755772583.jpg,there are people walking down a sidewalk in a japanese city .
4200405484.jpg,women workers in a produce market in a foreign land .
3204081508.jpg,a group of people are lounging at a beach .
496110746.jpg,"little girl , upside down on swing ."
4751891140.jpg,two women walking down the street while one is chatting on the phone .
3613705104.jpg,a skateboarder skates down stairs covered in graffiti .
2883464000.jpg,a group of people watch and take photos as a performance takes place at night .
3436221798.jpg,a woman in a red and white uniform slides on the grass to catch a softball .
19023618.jpg,man in green jacket driving a green street cleaning machine .
2506703854.jpg,a man working on a bright orange machine .
5613922717.jpg,a construction worker works on a metal structure .
2944952557.jpg,a woman in blue has a yellow ball in her mitt .
7700379680.jpg,a young man with earmuffs holds an armed weapon .
2121140070.jpg,men playing with a red ring out in the field .
442385209.jpg,a man is sitting cross-legged on a wall with a view of a city behind him .
3990927873.jpg,a young woman in striped turtleneck blouse is sitting in an office and working on an apple computer .
2938875913.jpg,a soccer participant is trying to hit a ball while an opposing team member runs behind him .
711689801.jpg,children standing and climbing near a fountain .
2953704682.jpg,a child and three adults picking up on the beach .
466956675.jpg,a person climbing a large mountainside .
1673911365.jpg,a man in a blue jumpsuit prepares to bungee jump .
3342822192.jpg,a hockey player tries to block the puck from the goal .
6196508338.jpg,"a football game featuring a team in yellow and blue kicking off , while spectators look on from beyond a fence ."
2366296895.jpg,a man in a business suit sitting down and holding a microphone .
4161413089.jpg,two kids play on the road while their parents wait and sit on the bench .
4088616577.jpg,a woman in a white blouse holds a child in a white shirt outdoors .
4804610884.jpg,a woman in a white shirt and red jeans is carrying a plastic bag and cellphone while walking along the street by art prints .
2244551043.jpg,two men and two women standing at the window of a ticket booth .
8025522249.jpg,"three male jazz musicians , all wearing black , playing several instruments on stage at a jazz festival ."
3465000218.jpg,people wearing body paint outside .
1957371533.jpg,a black and white dog shakes itself to get the water off
7936399880.jpg,musical group performing in front of a live audience .
495041730.jpg,a man with a beard is wearing a straw hat .
3848094551.jpg,a young asian girl prays in front of a candle .
3591458156.jpg,"a cowboy is thrown from the horse he was riding , while the judge stands by with his hand on a yellow flag ."
2741465534.jpg,people use the computer terminals at a modern library .
3157745346.jpg,a man with a helmet is using an atm .
4442622544.jpg,a group of boys in are being coached in soccer ; the boy in the blue t-shirt prepares to kick a ball into the goal .
1604212051.jpg,"at sunset , a young male is attempting a skateboard trick ."
7125381623.jpg,a group of teammates are on the sideline while three men play hockey .
523485792.jpg,a woman in a yellow blouse shaving the head of another .
2691147709.jpg,cowboy riding a white horse .
2298283771.jpg,a man in a black suit looking toward a woman with long hair
4971478897.jpg,a man looks bored while another man looks through two jewelers microscopes while a kid is entertained .
5008862701.jpg,a man carries a young cow while two cows look on from the distance and one cow has its mouth by the man 's hand .
180362495.jpg,the lady in the black shirt is fixing the other lady 's hair .
2453971388.jpg,two girls run through a sprinkler in a pool .
3422219732.jpg,a skier goes down a near vertical slope .
6020763700.jpg,one lady is looking at a blue box while the shorter lady is looking at something on her phone at the grocery store .
338415742.jpg,a person with a sweater on is carrying a back and walking beside a little girl wearing a backpack as she pushes a cart .
4078860212.jpg,three friends skateboarding on an inviting street .
771366843.jpg,"these two people in hats are standing on rocky terrain , with their arms around each other ."
181970350.jpg,a very happy singer in an extravagant outfit .
2687229880.jpg,a woman in a black-shirt is walking holding a silver cellphone .
3270174590.jpg,a man sits at a computer and types .
4818306972.jpg,couple of guys looking for the night life
5921176217.jpg,"an older man with a tan vest and backpack is standing in front of a butcher 's display case , ordering something from a younger man in a ball cap standing behind the counter ."
2862004252.jpg,a brown and tan dog walks through the green grass .
424869823.jpg,the young girl bent down to touch the rainbow .
3626475209.jpg,large black and white dog jumping hurdle
3629489568.jpg,many people are sitting in a street side cafe at red clothed tables in front of a tall old building with arches and statues .
528500099.jpg,the lady smiles on a clear day .
4468307489.jpg,a young boy in a black shirt is raking dirt in a yard .
2736432503.jpg,a woman is standing in a parking lot holding an umbrella .
4478960177.jpg,a woman in boots walking with an open umbrella .
3171035252.jpg,a person parasailing on a wave .
2406062461.jpg,a man in dreads is showing a transparent globe to a fascinated girl and the rest of the crowd .
5318628149.jpg,a man in a orange jacket is falling into a snowy hillside .
4171253174.jpg,a woman in a red bubble jacket and black and white striped pants sitting on a bar next to a man who is smoking as people pass them by .
695100408.jpg,a contraction vehicle being inspected .
6760463415.jpg,a man shaving another man 's mustache .
3325910784.jpg,a dog is leaping over a tree stump .
4738025604.jpg,a beautiful blond lady dressed in white and carrying a black purse is walking away from a black car and past a sign in a foreign language .
1761060826.jpg,a man in a wheelchair sits in his garden and enjoys the fresh air .
2735158990.jpg,a dog jumps in the woods .
2849842834.jpg,a group of older asian women talking .
2949337912.jpg,a surfer is riding on a breaking wave .
4459033855.jpg,a man at a podium is speaking to a group of men at a conference .
26217061.jpg,two men greet each other with a hug .
4568591525.jpg,two women looking off a bridge at something .
5691273582.jpg,man in black shirt wringing his mop as he cleans an amusement park ride .
7228557720.jpg,"a street artist sits on his chair post by the sidewalk , sketching a new drawing of a picture ."
7190066807.jpg,one army man doing some push ups while another one is kneeling right next to him .
3368902903.jpg,"three people walking in front of "" the odeon "" ."
3262185149.jpg,a man strumming a violin to sheet music .
294655770.jpg,a young blond child playing
4500116307.jpg,two young people in a department store roughhousing on a couch .
7028935309.jpg,a female employee of a movie theater on a ladder placing letters to display the showing for that evening .
3356628098.jpg,three ladies sewing on a bench .
1785224814.jpg,"people are waiting in line to order food , while others are walking away with their food ."
4567208443.jpg,a student observes cells under a microscope .
217330024.jpg,a man is about to regret letting his friend take pictures while he pole dances .
3298378599.jpg,an old woman in a white hat and purple and blue cloths is sitting down by a wooden building .
3040699634.jpg,the man is looking underneath the blue minivan .
4529735501.jpg,a large modern theater is illuminated at night .
21214696.jpg,two young men in a boat heading away from a larger boat with a single man on it .
2244171992.jpg,japanese school children are going to class
2029280005.jpg,a man is inline skating in front of a wooden bench .
3293642024.jpg,a man boogie boarding sails over the wave .
2201192417.jpg,boy wearing a green and white soccer uniform running through the grass .
4755628405.jpg,the lady is tossing the balls and looking up .
2208662604.jpg,"a man wearing jeans and boots is jumping into the air with a white sandy hill below him , and a blue cloudless sky behind him ."
2117609024.jpg,two young girls are completing chores outside .
7197647874.jpg,a soccer star is chasing after a ball before it becomes a corner kick !
3303787342.jpg,a person bicycling through deep snow .
4267222130.jpg,a small group of people with a spotlight on them wearing red shirts and jeans at a rodeo .
4893568355.jpg,a man sleeping under a window .
2908834379.jpg,children in a classroom sitting on a numbered rug .
3493255026.jpg,a white and brown dog is playing tug-of-war .
404216567.jpg,a woman wearing a neon jacket standing next to a large machine .
4682957522.jpg,many younger people dancing at a party
1512770347.jpg,man hangs up picture of tree as woman looks on .
428512135.jpg,four women dressed in elizabethan costumes standing at attention
6142026295.jpg,the beginning of a cycling race passes by the crowd .
2857473929.jpg,two men standing on a street .
4682065369.jpg,a man by the water is preparing his camera to take photos of a suspension bridge .
1271960365.jpg,two black dogs running
3223973114.jpg,dog running in yard .
2647394564.jpg,a small boy leaps from one bed to another .
188244881.jpg,two men waiting at a bus stop .
4689266358.jpg,there are cars driving down a street with a sign displaying welcome to golden .
3453919853.jpg,a group of people standing near a predictions machine .
2073174497.jpg,a man riding a bike near traffic .
447722389.jpg,"three dogs run on grass , one leaps to catch blue ball ."
3863054776.jpg,a teacher helping a student at a desk .
1246863003.jpg,three men work quickly preparing food in the kitchen of an upper-class chinese restaurant .
6100004189.jpg,a little girl and lady brushing her teeth .
7896102900.jpg,"young man , in a swimsuit , surfing on brown waters ."
3527325633.jpg,two men fighting at an mma event .
3361279771.jpg,men from two different teams are shaking hands ; one is wearing a blue jersey and one is wearing a white jersey with red stripes .
1274416519.jpg,a boy in a blue cap is sitting by the dock .
2232718966.jpg,a woman in purple tights is talking on the phone .
1067790824.jpg,the two large dogs are running through sand .
4524828504.jpg,a birds eye view of a man working on a floor .
783353797.jpg,the little girl in a white dress stands by a street with white words written on it .
2756591658.jpg,the couple takes a hike along the bluff .
4611068200.jpg,woman with a basket of candy in her hand .
2908981903.jpg,a man in black clothes standing on what appears to be a black locomotive .
4686363111.jpg,a guy on the edge of the water dressed in green doing arm pushup
5657884044.jpg,someone in a rain jacket pushes a yellow bag on wheels down the sidewalk .
3378389034.jpg,a young child plays on a beach next to an empty chair .
293281150.jpg,two women run down the street near a set of yellow doors .
4798971292.jpg,children play in water fountains .
2320742338.jpg,a tribesman makes his way up a tree with his feet and his hands .
7774468390.jpg,stevie wonder is wearing a blue shirt and holding a microphone .
3421129418.jpg,a man in swimming trunks kicking a ball at the beach .
3025513877.jpg,a young boy makes a splash in the water near the rocks .
4537351220.jpg,a person is walking around at nighttime in an isolated area .
3139160252.jpg,three women are posing together in front of a christmas tree .
4831683216.jpg,"a young girl in a bathing suit , drinking from a green glass bottle"
526328385.jpg,group of people riding cyclone in coney island .
3301854980.jpg,a guy on a skateboard griding down a handrail .
4146485510.jpg,person in white t-shirt is trimming the hair .
4351764727.jpg,a man accompanied by a band is singing in a red room .
2261550615.jpg,a man in a cowboy hat walks in a department store .
3106791484.jpg,boy in black shirt jumps onto bed from dresser .
3237720834.jpg,a young boy is reaching into a large cluster of different balloons .
416840980.jpg,a young girl is swinging with her arms outstretched .
4582754774.jpg,an asian woman holding a drink in one hand and a child in the other .
3443466107.jpg,street scene with two lady police officers with two civilians in foreground of picture .
4655655011.jpg,a statue of a man using a camera .
2201136364.jpg,a bearded man wearing a blue shirt is playing an acoustic guitar .
5750611277.jpg,a man poses looking back while a younger girl fishes .
1395173766.jpg,a group of women dressed in black playing musical instruments in front of a large building .
693785581.jpg,a boy standing on a red mat with a person upside down in the background .
4035527590.jpg,a man in work clothes and a white hard hat submerged in water .
3671612380.jpg,a man watches a child walk down the street beside the railroad tracks .
4512406110.jpg,group of schoolgirls walk home from class .
3564548129.jpg,an ice cream truck serving ice cream to an array of different people .
4256162530.jpg,two girls in shorts and sweaters are running on the beach .
4615250594.jpg,"two people are having a conversation , while sitting on a curb ."
848293676.jpg,a small boy jumps into a swimming pool .
4747939650.jpg,a woman takes a nap under some ancient architecture .
440165853.jpg,brown and black horse jumping while person in blue outfit and white cowboy hat lays on the ground
3125158798.jpg,the warmly dressed man and woman stand together outside .
2202443907.jpg,a woman looking at the daytime sky through a telescope that 's on a tripod .
37908123.jpg,a man in the work clothes is pulling the cord with the truck in the background .
4727583716.jpg,several men in blue shirts and western hats observe cattle behind a fence .
4859059617.jpg,two girls in dresses run on a brick-paved street .
5361355399.jpg,several bikers are going down one side of a four lane road while passing buildings that seem to be composed mostly of shades of brown and peach .
3549464203.jpg,an adult is encouraging a young girl to try the slide .
440375442.jpg,a group of people in white hazmat suits standing in front of black trash bags .
1124448967.jpg,a half naked man is sleeping on his chair outdoors .
609358708.jpg,a man in an orange uniform poses in the middle of a street .
4696582030.jpg,a construction worker wearing a yellow hat is shoving dirt into a wheelbarrow .
2090545563.jpg,two girls play on a skateboard in a courtyard .
367794886.jpg,a woman with glasses and a white lab coat is looking at something that she is manipulating under a microscope .
2555521861.jpg,a person on a pulley is dragged across water .
7173096497.jpg,two women are dancing in costume surrounded by a garden .
4898769564.jpg,three young men standing atop a ledge .
2581980255.jpg,a man in a suit using his phone standing on the sidewalk as the subway tram goes by .
167481877.jpg,a group of people are grilling food .
3093614199.jpg,people riding on motorcycles .
4927774336.jpg,a woman with a jacket over her head .
4685562107.jpg,a man wearing white is hanging thread on a pole made of bamboo .
3844515314.jpg,a man shuffling cards over a black counter with keys and some poker chips on it .
4609441559.jpg,a girl in purple doing the long jump at a track event .
4890769146.jpg,four adults and a little blond girl walk up a set of outside stairs lead by a lady in a pink shirt .
2944836001.jpg,a man wearing glasses and his black and white dog wearing a black collar are playing with a tennis ball .
2570365455.jpg,two boys with wearing baseball caps are sticking out green stained tongues .
2767646251.jpg,a man and woman standing at a counter with food .
211402278.jpg,border collies at herding a competition .
2430085858.jpg,fourteen member of a choir sing on a stage .
2587818583.jpg,an adult is pulling a child out of a ball pit .
3075068274.jpg,a skateboarder on a ramp .
460188299.jpg,a man is throwing the arrow .
499558360.jpg,"three men wearing shorts stand in the parking lot of a building labeled a "" factory . """
4475326892.jpg,a sad little boy sitting at a table with a blue tablecloth eating chocolate ice cream .
6320068122.jpg,three younger men dressed casually are standing around conversing .
4922641559.jpg,a woman in an orange shirt is enjoying food in a public setting .
1432411014.jpg,a man with black rim eyeglasses is looking up at a mosaic made up of tiny mirrors
7105273265.jpg,a person rock climbing by using the one wall as support .
3036641436.jpg,a boy sits between two girls on a swing .
2941677924.jpg,"a businessman wearing a suit , appears to be upset , and he pinches his brow as he sits before multiple computer monitors ."
3956420030.jpg,a girl in a plaid shirt is jumping in front of a bench .
4480997710.jpg,man and women standing under a red umbrella .
3148647065.jpg,a tan dog running through the grass with the background blurry
8109932996.jpg,a band is performing at a rock and roll concert .
88486769.jpg,two passengers work on writing in their journals while waiting for a plane .
524862138.jpg,"two little boys , playing on a merry-go -round ."
6790355893.jpg,high school basketball player making a jump shot with two players defending the basket .
7125476937.jpg,man raising his arms triumphantly as he leads the pack in a bike race .
3456488632.jpg,man and woman kissing on sidewalk next to a parked car .
1926129518.jpg,three dogs are playing in the grass .
540873795.jpg,a bearded man in white clothes is sitting on a long bench .
3812982009.jpg,a man in camouflage on the beach looks through a telescope at night .
4188620410.jpg,a group of girls with luggage wait to get in a white suv .
4939063264.jpg,two women are sharing a black umbrella in the rain .
2052202553.jpg,a brown dog wades into a lake to retrieve a stick .
2657990027.jpg,a man hammering a nail into a beam .
3149185449.jpg,men are looking at the contents of a storage facility .
4855749823.jpg,person with a blue bag walking down an alley .
4018837343.jpg,two women sitting at a kitchen breakfast bar .
6599201429.jpg,a woman on her wedding day with her wedding gown on looking back at a her family .
3151860914.jpg,a boy and a dog play with a stick .
2346468781.jpg,two friends having a laugh .
4751249553.jpg,a female in a group of three of three adult females is holding a young female by her hand .
4694086907.jpg,there is a man in all black in the doorway of a building with the number 363 on it while a construction worker in gray with red stripes and a helmet is outside walking on the left .
2311616095.jpg,dark-haired man wearing a watch and oven mitt about to cook some meat in the kitchen .
2556392380.jpg,little boy in a robe sits in a chair posing for the camera .
3158365397.jpg,a casino with a lot of slot machines .
2709683703.jpg,a man spraying a super soaker into the mouth of a dog .
4430945317.jpg,guy with a red beard wearing a green miller beer hat .
6253003614.jpg,soccer players on a field with a ball going into the net .
4910169752.jpg,young kids playing a game in a field .
5381043991.jpg,people watching a lively concert under an orange tent .
4921075662.jpg,two mowers cutting down palm tree branches in a nearby community college during a windy day
81125088.jpg,a very young child dressed entirely in red squats in the back of a truck with a good amount of debris in it .
128396150.jpg,two bikers take a break on a bench .
135444722.jpg,women in a black shirt standing with a bottle of water in hand in front of wall with greek writing on it .
3433259846.jpg,a woman teaching a ballet class composed of small children holding colourful scarves .
4729527033.jpg,young girl who is dressed up in a white and pink dress smiles as looks on at something .
3281610068.jpg,a man in a suit is walking outside of a glass fronted building towards a parking lot .
3447007090.jpg,a group of seven asian girls and boys are waiting to cross a street .
3856178809.jpg,one nurse in purple mr. potato head scrubs showing a pink bottle to another nurse in blue scrubs at a hospital with a third nurse in floral shirt and khaki pants in the background looks through paperwork .
130792536.jpg,people are learning to cook and enjoying the results of what they have done .
511186815.jpg,a family getting ready to enjoy a strawberry shortcake .
4800837156.jpg,walking down flower lined sidewalk wearing yellow shirt
4004004911.jpg,a singer playing his guitar on stage .
3538686658.jpg,a person riding a bicycle travels down an overgrown hill .
7151177989.jpg,"this man is running in a race ( note the number on his shirt ) and seems to be pushing it , on a paved walk right outside the city ."
3111208043.jpg,a man running track
3735197045.jpg,three male children play flag football on a grassy area by a body of water .
123346365.jpg,a tribe of ladies gathers to pray .
525434560.jpg,"two hands paint a picture using only color , circular lids and fingertips ."
3444982197.jpg,a man in a purple shirt looking at a man in a black shirt making a silly face .
2992226950.jpg,a man riding a bicycle down the street .
2175631995.jpg,two blond women pose for a photo .
2497608431.jpg,a man throwing a stick for his black and tan dog .
123628218.jpg,"three people , one with a black shirt , one with a navy blue jacket , and one with a red t-shirt , working in an office with a large messy bookshelf ."
3106481014.jpg,a woman in a white shirt wears gloves as she prepares food under a canopy .
2590318805.jpg,"three men and two women are standing besides a ladder , a wagon , and bales of hay ."
2490863987.jpg,"a man holds a sign outside a hotel that reads "" ok ok ok , i need money for beer , pot and a hooker . """
4745414475.jpg,little girl in her bridesmaid dress sitting down with the bouquet .
4688994030.jpg,a man in blue scrubs observes an operation .
4803984649.jpg,a man showing his ten fingers .
1159425410.jpg,a dog calmly waits until his bath is over .
4757316872.jpg,a man uses a tool to carve designs into a wooden pole .
2982881046.jpg,a person jumping with a bicycle over a ramp
2134207062.jpg,a man at a car lot is holding a pop and waiting for customers .
3695064885.jpg,the woman is leading a dog through an obstacle course .
4934537467.jpg,a man hoisting goods on a small car .
207958110.jpg,a man wearing a stained blue shirt is surrounded by other people .
3503544012.jpg,a group of men play hockey in a stadium .
5832821999.jpg,a few construction workers are busy working with telephone poles .
4760482894.jpg,two young women walking down the street on a warm day .
318070878.jpg,a girl with colorful clothes is holding colorful scarfs .
2726834392.jpg,man diving from an archway bridge into water below .
6999596517.jpg,two kids are standing next to a small pond .
422787743.jpg,"man with a lit cigarette in mouth , yellow baseball cap turned backwards , and yellow shirt over an orange polo shirt , helping another man with carrying slabs of concrete ."
4185308266.jpg,children are sitting in chairs under some television sets .
4397606831.jpg,"two men who appear to be in good spirits , one in a red shirt and another in a blue shirt are climbing on a crosswalk signal pole ."
3370043941.jpg,a woman with a black purse is sitting in front of a wall covered in posters while in the foreground two men are sitting in a social setting .
8180138587.jpg,a family gathered for a picture .
8042217958.jpg,a man in black pants and a blue jacket watches a woman sitting on a hardwood floor in a brown jacket watch six tvs of varying sizes .
4379561906.jpg,a group of people are standing inside an office
468637112.jpg,very large crowd gathered outside .
5518764727.jpg,a baby with blond-hair in brown pants and white shirt lays his head over the side of the jumper .
3182485193.jpg,a young man in a yellow and orange bathing suit squatting on a rocky protuberance overlooking the water .
4299244891.jpg,man in t-shirt and jeans cuts up cooked chicken .
4752489179.jpg,two women step on rocks in water .
466933481.jpg,a woman on a swing is wearing one shoe .
332045444.jpg,a poodle running along a beach carrying a stick in its mouth .
4218979195.jpg,a man sitting on a bench selling balloons .
4548074929.jpg,the badgers ' pom team pose for a photo .
6864936264.jpg,several people are milling about outside a large off-white colored house with a terra cotta roof while someone in the distance takes their picture .
4764430842.jpg,a couple relaxing outside .
4717660540.jpg,two people are asleep in the floor .
5502202358.jpg,"in a bird 's-eye view , a man has jumped off a diving board , facing the poolside , and is midair before hitting the water ."
2559921948.jpg,a boy in a yellow shirt is walking on a beach holding a surfboard .
4151679198.jpg,several girls are having a discussion after rollerskating .
6309597419.jpg,a baseball pitcher throws a ball .
2551602773.jpg,people are exiting a ryanair airplane .
52480875.jpg,a young man wearing a yellow bat man shirt looks smiling at a young man wearing an orange shirt .
4789709457.jpg,the men are carrying a heavy piece of wood .
4983722231.jpg,a woman enjoying a drink in the sun .
816084977.jpg,a young girl walking her dog beside the water with the sun reflecting on it .
2245618207.jpg,many children having fun outside near large buildings .
2723220367.jpg,this teen is showing off her talent as she dives in a pool .
7282145490.jpg,a girl on a horse wearing a helmet and an orange vest .
3778077349.jpg,a man wearing a red and black robe sitting on a diving board .
2940366012.jpg,a man is sitting on a motocross bike pointing his finger forwards .
3042380610.jpg,a group of people are standing around a sound mixing table .
2542293294.jpg,@ people are cleaning windows in a dark environment .
3649384501.jpg,a military guard is wearing a ceremonial gold helmet and is holding a sword .
403523132.jpg,a dog is about to get a ball that is on orange carpet .
489017052.jpg,a woman dressed in blue is walking down a street near a marketplace .
1713248047.jpg,the three dogs are standing in tall grass .
512634877.jpg,a dog wearing a harness is playing with red ball in a grassy area .
6678040861.jpg,an older woman is putting food on a plate on a food serving counter .
639865690.jpg,two boys play with large sticks in the yard .
4264701235.jpg,"many people , including a boy wearing a striped brown shirt and a man in capri pants and flip-flops , walk past a hotel with green brick walls ."
4773842539.jpg,a large group of kids sitting on the floor listening to a lady in a blue dress .
3884704036.jpg,two officials in white and black uniforms speak with pedestrians in the street at night .
363792435.jpg,bicyclists sit on their speed bikes in preparation for a race .
7364986488.jpg,a motorcyclist is making a right turn .
2102531792.jpg,3 kids running on a red track .
3534668485.jpg,a woman in white and woman in black are standing by each other talking on cellphones .
4915658588.jpg,"three people , all wearing dark clothing , stand talking at a street corner ."
3235542079.jpg,a man in a zippered jacket snowboarding .
2441818175.jpg,a man in a blue jeans and sweater is working
3565598162.jpg,two girls in puffy skirts are dancing in front of some musicians in the street .
3605061440.jpg,a group of children are petting a white dog on the grass .
802594049.jpg,a man in blue cap and jacket looks frustrated .
5788678128.jpg,a bunch of people in a crowded museum .
366548880.jpg,two dogs running and jumping through a snowy area .
2362918118.jpg,an older man in a yellow shirt holds a green shopping bag while standing in the middle of a street .
2599444370.jpg,two black dogs are swimming in a pool .
2896529993.jpg,a young boy in a striped shirt is holding a cricket .
6926577156.jpg,"blake griffin , of the los angles clippers dunking over a minnesota grizzles player ."
2420546021.jpg,an asian girl is dressed in a colorful costume and yellow headdress .
6929649160.jpg,a large brown and white bull tries his best to throw off a rodeo rider .
2045109977.jpg,a man is holding up a plastic jug indoors .
5650197379.jpg,a man in his skateboard jumping over a grocery cart as his friends in the back watch .
2358359289.jpg,a child is jumping off of a swing .
3782318456.jpg,a group of men on their knees tying bandannas around their heads in preparation for a fencing match .
231439338.jpg,a man in a blue shirt and jeans feeding material into industrial machinery .
1368108583.jpg,young couple taking a stroll in a busy city .
4121133646.jpg,the young boy is examining a rock with his magnifying glass .
2255338013.jpg,a person is swinging by a cord over the ocean .
4686350232.jpg,two workers face each other wearing green attire .
3433982387.jpg,two little girls and an adult watch bubbles float through the air in front of them .
3162095736.jpg,some children are playing in a woodland stream .
4369970740.jpg,a couple kissing in front of a sculpture of a heart .
2458269558.jpg,a child is smiling while being on a swing .
6867197342.jpg,a man performs on his huge harp .
3156948184.jpg,a group of young women and boys walk down railroad tracks in a wooded area .
120545126.jpg,several young adults performing in martial arts clothing .
4526446769.jpg,two men dressed in colorful costumes are dancing during a street parade .
404895945.jpg,an older couple smiling while standing in front of a big building .
4430466345.jpg,a man is holding a guitar as if to hit another man on the head .
2288303942.jpg,a young man is high up on a palm tree and is pruning it with a large knife .
5303395266.jpg,a bmx biker performs stunts on a hilly track .
3699522388.jpg,"a bald man in a black wetsuit flips leaps in the air on a surfboard , holds on to a waterskiing handle"
6353804663.jpg,two girls watch an experiment unfold as one of the girls pours a liquid into a beaker .
4764762394.jpg,a woman bidding farewell .
3498354674.jpg,a young person doing a skateboard trick on a cement raling over cement stairs .
2189721750.jpg,a soccer team is warming up on the pitch .
298650667.jpg,a lady in a business suit sits at a desk and types on her keyboard .
4728172600.jpg,a man in a black shirt is looking over to the left while in a crowd .
6928751436.jpg,a man is pulling a chain in a workshop .
2364942064.jpg,a woman dressed in black blouse standing and speaking into a long microphone .
872615435.jpg,"a teen girl in a green plaid shirt , with a white shirt underneath and jeans is jumping in the air ."
1409702228.jpg,the man in a dark blue shirt is squeezing a bottle filled with a gold-colored substance .
2534352312.jpg,workers cleaning a set of statues and the surrounding steps .
7102122069.jpg,a runner wearing a large backpack is carrying a water bottle as he runs in a marathon .
4601570028.jpg,a hairdresser in a salon looking off through the salon .
280511194.jpg,"a group of adults holding musical instruments , they do not appear to be playing the instruments ."
4845740339.jpg,a man wearing a white helmet in a crowd .
3230432495.jpg,"a man behind the wheel of a ship , stops to pose for a picture ."
2472896179.jpg,a man glides on top of the water .
5231178541.jpg,there is a man wrapped in a blanket of some sort sliding down a hill that is covered in snow .
3348191949.jpg,two girls in black dresses are standing next to each other in front of browm trees .
4624956100.jpg,a man steadies a red ladder while another man has climbed it .
2162469360.jpg,two construction workers working on a rooftop .
3300679815.jpg,three colorful clowns with ballons posing next to another plastic clown .
4624341277.jpg,performer on stilts smiles down to little girl .
162743064.jpg,a dog is backlit buy the sun as he jumps up to catch a tennis ball .
3692233541.jpg,a father and daughter throwing rocks into the stream .
2096686198.jpg,a young man makes an astonished face as he turns to the cameraman just outside his kitchen .
4138735474.jpg,a tired woman rests her head on her friend 's shoulder in an auditorium .
2069887.jpg,a statue of a wizard holding a gnarled staff sits in front of a stone wall as a small white pale in front suggests an offering .
83191345.jpg,"four men , seated inside a plain room on benches and dressed in military fatigues are conversing , one man wears a white ywca t-shirt ."
2445050754.jpg,a classical string ensemble performs in a church to an attentive audience .
977898311.jpg,"a young man , in baggy jeans and a white t-shirt is using a hammer on a door frame ."
7591649888.jpg,three friends hold hands amidst a crowd of people .
3037108254.jpg,"a woman dressed in a white dress and holding a bouquet of pink roses , placing a rose stem on the lapel of a man dressed in a dark blue dinner jacket and white tie ."
378969539.jpg,"a female athlete holds up a sign indicating "" rocks "" inside a arena ."
2419186511.jpg,a little baby is taking a bath in a large tupperware bowl filled with water .
3368569524.jpg,the female basket player in red is challenging the player in white for the ball .
4468388551.jpg,a re-enactment actor in a white shirt brandishing two flintlocks .
4544194772.jpg,a woman in a green shirt and a man in a black jacket join others in walking down a sidewalk .
2536787269.jpg,men in orange uniforms are in a tunnel .
253924161.jpg,"a man and woman at a table , the woman has a cup with drink in front of her ."
3321715926.jpg,a man with black hair is cutting fish .
4045661794.jpg,there is a woman in orange viewing a laptop in front of a man in blue .
2326669450.jpg,there are seven children jumping for joy on a grass hill .
2304444199.jpg,a little blond girl on a climbing wall .
4691045262.jpg,a man with long gray hear and a mustache sits on the ground and has on no shoes .
98235403.jpg,a group of men are gathered around a concrete truck .
4607606901.jpg,a young girls pets a deer-like animal on a dirt road in front of a wooden post fence .
2597873827.jpg,a boy with a short haircut and a blue shirt gestures happily to someone out of frame .
1392272228.jpg,a black dog carrying some seaweed out of the water .
349738226.jpg,"a group of people in jackets and hats are kneeling outside posing for a picture , each one with their dog by them on a leash ."
4054215174.jpg,two boys are running around a girl lying under an umbrella .
2786299623.jpg,a woman walking a dog on a beach .
5696549500.jpg,three men in life jackets make their way across the water .
3486154327.jpg,three small boys sit at the top of granite stairs surrounded by brick walls .
3372351555.jpg,"two people , a man and a woman , are handing a man in a pulley contraption a bag ."
3651107058.jpg,someone sits with orange and black tights at an outdoor performance .
3111208043.jpg,a man running on a track .
2215925780.jpg,an excavator being worked in front of a train .
1054620089.jpg,a woman wearing a red coat is jumping outdoors .
33237925.jpg,two young blond children sit in the grass playing with sticks .
2737873732.jpg,woman in red shirt and hot looks at trinkets at a table .
4667566271.jpg,a man is using a hammer and chisel to make sculptures .
6483566713.jpg,a woman in jeans and a woman in white pants use a telescope .
4458823896.jpg,a woman in a pink sweater sitting in a fast food restaurant .
363701716.jpg,teen athletes are resting on a bench after their run .
2536957963.jpg,a worker cleans a stairway under the supervision of his co-worker .
2063277300.jpg,a little girl in striped tights lays on the laps of a little girl and boy .
4808499305.jpg,asian emo boy rests hands on hips beside a river .
7162674846.jpg,a small boy child in playing in the sand at the beach .
483307396.jpg,the manual is green and blue look for the with stripe .
278559394.jpg,group of people on a sunny day .
3482256327.jpg,two boys and two girls holding a green garden hose .
3565840872.jpg,two islamic women are making purchases at a large warehouse .
4860102706.jpg,"two women walk down the street , one carrying a white umbrella ."
3026459445.jpg,a woman in a cowboy hat is holding a cup .
7897325408.jpg,a girl is dressed in a wild outfit dancing .
2652843146.jpg,a group of men watch on as another man is seasoning the remains of an animal to barbecue near a barn .
